Profile,Session,Difficulty,Completion_Rate,Flow_Score,Action
Advanced,1,4,0.891,90.82,increase
Advanced,2,5,0.848,89.44,increase
Advanced,3,6,0.84,86.79,increase
Advanced,4,7,0.878,89.35,increase
Advanced,5,8,0.865,87.27,increase
Advanced,6,9,0.855,86.74,increase
Advanced,7,10,0.955,92.04,increase
Advanced,8,10,1.0,94.18,maintain
Advanced,9,10,1.0,93.64,maintain
Advanced,10,10,1.0,95.09,maintain
Advanced,11,10,0.992,93.2,maintain
Advanced,12,10,0.878,88.41,maintain
Advanced,13,10,0.891,90.47,maintain
Advanced,14,10,1.0,94.87,maintain
Advanced,15,10,0.998,92.76,maintain
Advanced,16,10,1.0,92.52,maintain
Advanced,17,10,0.879,89.41,maintain
Advanced,18,10,0.959,91.7,maintain
Advanced,19,10,1.0,93.75,maintain
Advanced,20,10,0.96,92.32,maintain
Intermediate,1,3,0.654,71.13,maintain
Intermediate,2,3,0.684,74.91,maintain
Intermediate,3,3,0.642,66.81,maintain
Intermediate,4,3,0.74,73.39,maintain
Intermediate,5,3,0.688,69.41,maintain
Intermediate,6,3,0.69,72.14,maintain
Intermediate,7,3,0.637,69.03,maintain
Intermediate,8,3,0.68,73.08,maintain
Intermediate,9,3,0.674,72.99,maintain
Intermediate,10,3,0.622,68.46,maintain
Intermediate,11,3,0.713,73.67,maintain
Intermediate,12,3,0.664,71.47,maintain
Intermediate,13,3,0.714,72.49,maintain
Intermediate,14,3,0.741,74.98,maintain
Intermediate,15,3,0.652,68.65,maintain
Intermediate,16,3,0.745,73.97,maintain
Intermediate,17,3,0.735,74.18,maintain
Intermediate,18,3,0.686,70.71,maintain
Intermediate,19,4,0.779,77.28,increase
Intermediate,20,4,0.786,72.84,maintain
Beginner,1,3,0.389,45.76,maintain
Beginner,2,3,0.399,47.17,maintain
Beginner,3,3,0.469,51.37,maintain
Beginner,4,3,0.492,48.92,maintain
Beginner,5,2,0.382,44.72,decrease
Beginner,6,2,0.384,46.44,maintain
Beginner,7,2,0.384,46.98,maintain
Beginner,8,2,0.374,48.23,maintain
Beginner,9,2,0.441,52.36,maintain
Beginner,10,2,0.499,52.61,maintain
Beginner,11,2,0.481,53.34,maintain
Beginner,12,2,0.408,46.56,maintain
Beginner,13,2,0.445,49.04,maintain
Beginner,14,2,0.522,48.83,maintain
Beginner,15,2,0.531,51.22,maintain
Beginner,16,2,0.35,46.01,maintain
Beginner,17,2,0.483,51.3,maintain
Beginner,18,2,0.572,54.18,maintain
Beginner,19,2,0.461,48.04,maintain
Beginner,20,2,0.459,49.87,maintain
